135,136,143,distance,heart_rate,timestamp
18,97,82,0.0,97,2025-07-08 09:30:49+00:00
25,94,82,0.0,94,2025-07-08 09:30:50+00:00
30,92,82,0.0,92,2025-07-08 09:30:51+00:00
55,93,82,0.0,93,2025-07-08 09:30:55+00:00
58,94,82,0.0,94,2025-07-08 09:30:56+00:00
53,97,82,0.0,97,2025-07-08 09:30:57+00:00
57,98,82,0.0,98,2025-07-08 09:30:58+00:00
54,100,82,0.0,100,2025-07-08 09:30:59+00:00
54,102,82,0.0,102,2025-07-08 09:31:00+00:00
54,103,82,0.0,103,2025-07-08 09:31:01+00:00
55,104,82,0.0,104,2025-07-08 09:31:02+00:00
66,103,82,0.0,103,2025-07-08 09:31:04+00:00
57,98,82,0.0,98,2025-07-08 09:31:05+00:00
51,95,82,0.0,95,2025-07-08 09:31:06+00:00
34,88,82,0.0,88,2025-07-08 09:31:07+00:00
37,87,82,0.0,87,2025-07-08 09:31:08+00:00
42,86,82,0.0,86,2025-07-08 09:31:09+00:00
48,85,82,0.0,85,2025-07-08 09:31:10+00:00
55,84,82,0.0,84,2025-07-08 09:31:11+00:00
61,83,82,0.0,83,2025-07-08 09:31:12+00:00
80,82,82,0.0,82,2025-07-08 09:31:15+00:00
77,80,82,0.0,80,2025-07-08 09:31:16+00:00
61,75,82,0.0,75,2025-07-08 09:31:17+00:00
61,75,82,0.0,75,2025-07-08 09:31:18+00:00
47,72,82,0.0,72,2025-07-08 09:31:19+00:00
36,71,82,0.0,71,2025-07-08 09:31:21+00:00
28,70,82,0.0,70,2025-07-08 09:31:22+00:00
34,71,82,0.0,71,2025-07-08 09:31:23+00:00
38,72,82,0.0,72,2025-07-08 09:31:24+00:00
42,71,82,0.0,71,2025-07-08 09:31:25+00:00
50,70,82,0.0,70,2025-07-08 09:31:31+00:00
54,72,82,0.0,72,2025-07-08 09:31:33+00:00
54,74,82,0.0,74,2025-07-08 09:31:34+00:00
55,75,82,0.0,75,2025-07-08 09:31:35+00:00
34,79,82,0.0,79,2025-07-08 09:31:36+00:00
34,79,82,0.0,79,2025-07-08 09:31:37+00:00
33,81,82,0.0,81,2025-07-08 09:31:38+00:00
15,84,82,0.0,84,2025-07-08 09:31:39+00:00
9,85,82,0.0,85,2025-07-08 09:31:40+00:00
2,86,82,0.0,86,2025-07-08 09:31:45+00:00
2,87,82,0.0,87,2025-07-08 09:31:46+00:00
1,88,82,0.0,88,2025-07-08 09:31:49+00:00
1,87,82,0.0,87,2025-07-08 09:31:52+00:00
0,86,82,0.0,86,2025-07-08 09:31:54+00:00
0,87,82,0.0,87,2025-07-08 09:31:58+00:00
0,86,82,0.0,86,2025-07-08 09:32:02+00:00
